"Fila","Columna","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler","columna_name","fila_name","name"
"9203","51322",NA,0.0916,0.1856,0.0916,0.1678,NA,"WAC","ZMYM3","WAC - ZMYM3"
"7750","51322",NA,0.1533,0.2703,0.1533,0.2659,NA,"WAC","ZMYM2","WAC - ZMYM2"
"7704","51322",NA,0,0,0,0,NA,"WAC","ZBTB16","WAC - ZBTB16"
"7528","51322",NA,0.1276,0.2269,0.1276,0.2262,NA,"WAC","YY1","WAC - YY1"
"7531","51322",NA,0.0714,0.1551,0.0714,0.1333,NA,"WAC","YWHAE","WAC - YWHAE"
"7468","51322",NA,0.1079,0.2004,0.1079,0.1948,NA,"WAC","NSD2","WAC - NSD2"
"9555","51322",NA,0.0089,0.0299,0.0089,0.0177,NA,"WAC","MACROH2A1","WAC - MACROH2A1"
"8294","51322",NA,0.0746,0.1528,0.0746,0.1389,NA,"WAC","H4C9","WAC - H4C9"
"8367","51322",NA,0.172,0.2942,0.172,0.2936,NA,"WAC","H4C5","WAC - H4C5"
"8364","51322",NA,0.0692,0.1465,0.0692,0.1295,NA,"WAC","H4C3","WAC - H4C3"
"8363","51322",NA,0.0885,0.2161,0.0885,0.1626,NA,"WAC","H4C11","WAC - H4C11"
"3021","51322",NA,0.0682,0.1427,0.0682,0.1277,NA,"WAC","H3-3B","WAC - H3-3B"
"3020","51322",NA,0.1275,0.2316,0.1275,0.2262,NA,"WAC","H3-3A","WAC - H3-3A"
"3008","51322",NA,0.087,0.2065,0.087,0.16,NA,"WAC","H1-4","WAC - H1-4"
"7552","7443",NA,0.025,0.0716,0.025,0.0488,NA,"VRK1","ZNF711","VRK1 - ZNF711"
"9640","7443",NA,0.1169,0.2758,0.1169,0.2093,NA,"VRK1","ZNF592","VRK1 - ZNF592"
"10771","7443",NA,0.0482,0.1187,0.0482,0.092,NA,"VRK1","ZMYND11","VRK1 - ZMYND11"
"9203","7443",NA,0.0467,0.0927,0.0467,0.0893,NA,"VRK1","ZMYM3","VRK1 - ZMYM3"
"7750","7443",NA,0.0677,0.1268,0.0677,0.1268,NA,"VRK1","ZMYM2","VRK1 - ZMYM2"
"7704","7443",NA,0.0094,0.0198,0.0094,0.0187,NA,"VRK1","ZBTB16","VRK1 - ZBTB16"
"7528","7443",NA,0.0615,0.1197,0.0615,0.1158,NA,"VRK1","YY1","VRK1 - YY1"
"7531","7443",NA,0.0505,0.1033,0.0505,0.0962,NA,"VRK1","YWHAE","VRK1 - YWHAE"
"51322","7443",NA,0.0613,0.1175,0.0613,0.1156,NA,"VRK1","WAC","VRK1 - WAC"
"7468","7443",NA,0.0727,0.1478,0.0727,0.1356,NA,"VRK1","NSD2","VRK1 - NSD2"
"9555","7443",NA,0,0,0,0,NA,"VRK1","MACROH2A1","VRK1 - MACROH2A1"
"8294","7443",NA,0.0561,0.1099,0.0561,0.1062,NA,"VRK1","H4C9","VRK1 - H4C9"
"8367","7443",NA,0.0872,0.1653,0.0872,0.1604,NA,"VRK1","H4C5","VRK1 - H4C5"
"8364","7443",NA,0.0588,0.1171,0.0588,0.1111,NA,"VRK1","H4C3","VRK1 - H4C3"
"8363","7443",NA,0.0575,0.1295,0.0575,0.1087,NA,"VRK1","H4C11","VRK1 - H4C11"
"3021","7443",NA,0.0476,0.095,0.0476,0.0909,NA,"VRK1","H3-3B","VRK1 - H3-3B"
"3020","7443",NA,0.0787,0.1461,0.0787,0.146,NA,"VRK1","H3-3A","VRK1 - H3-3A"
"3008","7443",NA,0.0682,0.1485,0.0682,0.1277,NA,"VRK1","H1-4","VRK1 - H1-4"
"7552","7874",NA,0.0411,0.1122,0.0411,0.0789,NA,"USP7","ZNF711","USP7 - ZNF711"
"9640","7874",NA,0.0526,0.1281,0.0526,0.1,NA,"USP7","ZNF592","USP7 - ZNF592"
"10771","7874",NA,0.0658,0.155,0.0658,0.1235,NA,"USP7","ZMYND11","USP7 - ZMYND11"
"9203","7874",NA,0.1277,0.2325,0.1277,0.2264,NA,"USP7","ZMYM3","USP7 - ZMYM3"
"7750","7874",NA,0.1148,0.2061,0.1148,0.2059,NA,"USP7","ZMYM2","USP7 - ZMYM2"
"7704","7874",NA,0,0,0,0,NA,"USP7","ZBTB16","USP7 - ZBTB16"
"7528","7874",NA,0.1018,0.1933,0.1018,0.1848,NA,"USP7","YY1","USP7 - YY1"
"7531","7874",NA,0.0769,0.1511,0.0769,0.1429,NA,"USP7","YWHAE","USP7 - YWHAE"
"51322","7874",NA,0.1361,0.2456,0.1361,0.2395,NA,"USP7","WAC","USP7 - WAC"
"7443","7874",NA,0.1057,0.1914,0.1057,0.1912,NA,"USP7","VRK1","USP7 - VRK1"
"7468","7874",NA,0.1165,0.2317,0.1165,0.2087,NA,"USP7","NSD2","USP7 - NSD2"
"9555","7874",NA,0.0133,0.0374,0.0133,0.0263,NA,"USP7","MACROH2A1","USP7 - MACROH2A1"
"8294","7874",NA,0.1263,0.2297,0.1263,0.2243,NA,"USP7","H4C9","USP7 - H4C9"
"8367","7874",NA,0.1104,0.2073,0.1104,0.1989,NA,"USP7","H4C5","USP7 - H4C5"
"8364","7874",NA,0.0968,0.1835,0.0968,0.1765,NA,"USP7","H4C3","USP7 - H4C3"
"8363","7874",NA,0.1026,0.2165,0.1026,0.186,NA,"USP7","H4C11","USP7 - H4C11"
"3021","7874",NA,0.1183,0.2185,0.1183,0.2115,NA,"USP7","H3-3B","USP7 - H3-3B"
"3020","7874",NA,0.1197,0.2137,0.1197,0.2137,NA,"USP7","H3-3A","USP7 - H3-3A"
"3008","7874",NA,0.0864,0.181,0.0864,0.1591,NA,"USP7","H1-4","USP7 - H1-4"
"7552","55148",NA,0.0588,0.1206,0.0588,0.1111,NA,"UBR7","ZNF711","UBR7 - ZNF711"
"9640","55148",NA,0.0811,0.1549,0.0811,0.15,NA,"UBR7","ZNF592","UBR7 - ZNF592"
"10771","55148",NA,0.1081,0.2,0.1081,0.1951,NA,"UBR7","ZMYND11","UBR7 - ZMYND11"
"9203","55148",NA,0.0645,0.1249,0.0645,0.1212,NA,"UBR7","ZMYM3","UBR7 - ZMYM3"
"7750","55148",NA,0.1707,0.3323,0.1707,0.2917,NA,"UBR7","ZMYM2","UBR7 - ZMYM2"
"7704","55148",NA,0,0,0,0,NA,"UBR7","ZBTB16","UBR7 - ZBTB16"
"7528","55148",NA,0.0827,0.2017,0.0827,0.1528,NA,"UBR7","YY1","UBR7 - YY1"
"7531","55148",NA,0.1154,0.2089,0.1154,0.2069,NA,"UBR7","YWHAE","UBR7 - YWHAE"
"51322","55148",NA,0.0855,0.198,0.0855,0.1575,NA,"UBR7","WAC","UBR7 - WAC"
"7443","55148",NA,0.0435,0.0949,0.0435,0.0833,NA,"UBR7","VRK1","UBR7 - VRK1"
"7874","55148",NA,0.0976,0.1985,0.0976,0.1778,NA,"UBR7","USP7","UBR7 - USP7"
"7468","55148",NA,0.0857,0.2335,0.0857,0.1579,NA,"UBR7","NSD2","UBR7 - NSD2"
"9555","55148",NA,0,0,0,0,NA,"UBR7","MACROH2A1","UBR7 - MACROH2A1"
"8294","55148",NA,0.1552,0.2777,0.1552,0.2687,NA,"UBR7","H4C9","UBR7 - H4C9"
"8367","55148",NA,0.0602,0.1486,0.0602,0.1135,NA,"UBR7","H4C5","UBR7 - H4C5"
"8364","55148",NA,0.1071,0.1973,0.1071,0.1935,NA,"UBR7","H4C3","UBR7 - H4C3"
"8363","55148",NA,0.122,0.2182,0.122,0.2174,NA,"UBR7","H4C11","UBR7 - H4C11"
"3021","55148",NA,0.0847,0.1601,0.0847,0.1562,NA,"UBR7","H3-3B","UBR7 - H3-3B"
"3020","55148",NA,0.1235,0.2462,0.1235,0.2198,NA,"UBR7","H3-3A","UBR7 - H3-3A"
"3008","55148",NA,0.0909,0.1668,0.0909,0.1667,NA,"UBR7","H1-4","UBR7 - H1-4"
"7552","7319",NA,0.0698,0.201,0.0698,0.1304,NA,"UBE2A","ZNF711","UBE2A - ZNF711"
"9640","7319",NA,0.0213,0.0574,0.0213,0.0417,NA,"UBE2A","ZNF592","UBE2A - ZNF592"
"10771","7319",NA,0.0659,0.1667,0.0659,0.1237,NA,"UBE2A","ZMYND11","UBE2A - ZMYND11"
"9203","7319",NA,0.0609,0.1215,0.0609,0.1148,NA,"UBE2A","ZMYM3","UBE2A - ZMYM3"
"7750","7319",NA,0.078,0.1451,0.078,0.1447,NA,"UBE2A","ZMYM2","UBE2A - ZMYM2"
"7704","7319",NA,0.0086,0.0185,0.0086,0.0171,NA,"UBE2A","ZBTB16","UBE2A - ZBTB16"
"7528","7319",NA,0.0638,0.1222,0.0638,0.12,NA,"UBE2A","YY1","UBE2A - YY1"
"7531","7319",NA,0.0364,0.0774,0.0364,0.0702,NA,"UBE2A","YWHAE","UBE2A - YWHAE"
"51322","7319",NA,0.1296,0.231,0.1296,0.2295,NA,"UBE2A","WAC","UBE2A - WAC"
"7443","7319",NA,0.034,0.0659,0.034,0.0658,NA,"UBE2A","VRK1","UBE2A - VRK1"
"7874","7319",NA,0.0815,0.1516,0.0815,0.1507,NA,"UBE2A","USP7","UBE2A - USP7"
"55148","7319",NA,0.0816,0.1778,0.0816,0.1509,NA,"UBE2A","UBR7","UBE2A - UBR7"
"7468","7319",NA,0.0982,0.1903,0.0982,0.1789,NA,"UBE2A","NSD2","UBE2A - NSD2"
"9555","7319",NA,0.011,0.0335,0.011,0.0217,NA,"UBE2A","MACROH2A1","UBE2A - MACROH2A1"
"8294","7319",NA,0.0982,0.1886,0.0982,0.1789,NA,"UBE2A","H4C9","UBE2A - H4C9"
"8367","7319",NA,0.0765,0.1444,0.0765,0.1421,NA,"UBE2A","H4C5","UBE2A - H4C5"
"8364","7319",NA,0.0727,0.1461,0.0727,0.1356,NA,"UBE2A","H4C3","UBE2A - H4C3"
"8363","7319",NA,0.1087,0.2425,0.1087,0.1961,NA,"UBE2A","H4C11","UBE2A - H4C11"
"3021","7319",NA,0.0714,0.1423,0.0714,0.1333,NA,"UBE2A","H3-3B","UBE2A - H3-3B"
"3020","7319",NA,0.1221,0.2188,0.1221,0.2177,NA,"UBE2A","H3-3A","UBE2A - H3-3A"
"3008","7319",NA,0.0505,0.1158,0.0505,0.0962,NA,"UBE2A","H1-4","UBE2A - H1-4"
"7552","11338",NA,0.0312,0.0643,0.0312,0.0606,NA,"U2AF2","ZNF711","U2AF2 - ZNF711"
"9640","11338",NA,0.0571,0.1101,0.0571,0.1081,NA,"U2AF2","ZNF592","U2AF2 - ZNF592"
"10771","11338",NA,0.1176,0.2132,0.1176,0.2105,NA,"U2AF2","ZMYND11","U2AF2 - ZMYND11"
"9203","11338",NA,0.0328,0.0666,0.0328,0.0635,NA,"U2AF2","ZMYM3","U2AF2 - ZMYM3"
"7750","11338",NA,0.0814,0.1771,0.0814,0.1505,NA,"U2AF2","ZMYM2","U2AF2 - ZMYM2"
"7704","11338",NA,0,0,0,0,NA,"U2AF2","ZBTB16","U2AF2 - ZBTB16"
"7528","11338",NA,0.0522,0.1368,0.0522,0.0993,NA,"U2AF2","YY1","U2AF2 - YY1"
"7531","11338",NA,0.0784,0.1485,0.0784,0.1455,NA,"U2AF2","YWHAE","U2AF2 - YWHAE"
"51322","11338",NA,0.0598,0.1478,0.0598,0.1129,NA,"U2AF2","WAC","U2AF2 - WAC"
"7443","11338",NA,0.0333,0.0759,0.0333,0.0645,NA,"U2AF2","VRK1","U2AF2 - VRK1"
"7874","11338",NA,0.0741,0.1587,0.0741,0.1379,NA,"U2AF2","USP7","U2AF2 - USP7"
"55148","11338",NA,0.1463,0.2558,0.1463,0.2553,NA,"U2AF2","UBR7","U2AF2 - UBR7"
"7319","11338",NA,0.0404,0.0948,0.0404,0.0777,NA,"U2AF2","UBE2A","U2AF2 - UBE2A"
"7468","11338",NA,0.0506,0.1494,0.0506,0.0963,NA,"U2AF2","NSD2","U2AF2 - NSD2"
"9555","11338",NA,0,0,0,0,NA,"U2AF2","MACROH2A1","U2AF2 - MACROH2A1"
"8294","11338",NA,0.1034,0.1974,0.1034,0.1875,NA,"U2AF2","H4C9","U2AF2 - H4C9"
"8367","11338",NA,0.0866,0.2177,0.0866,0.1594,NA,"U2AF2","H4C5","U2AF2 - H4C5"
"8364","11338",NA,0.1132,0.2103,0.1132,0.2034,NA,"U2AF2","H4C3","U2AF2 - H4C3"
"8363","11338",NA,0.1622,0.2791,0.1622,0.2791,NA,"U2AF2","H4C11","U2AF2 - H4C11"
"3021","11338",NA,0.0702,0.1366,0.0702,0.1311,NA,"U2AF2","H3-3B","U2AF2 - H3-3B"
"3020","11338",NA,0.1282,0.2624,0.1282,0.2273,NA,"U2AF2","H3-3A","U2AF2 - H3-3A"
"3008","11338",NA,0.0227,0.0445,0.0227,0.0444,NA,"U2AF2","H1-4","U2AF2 - H1-4"
"7552","8295",NA,0.0465,0.1357,0.0465,0.0889,NA,"TRRAP","ZNF711","TRRAP - ZNF711"
"9640","8295",NA,0.0444,0.1162,0.0444,0.0851,NA,"TRRAP","ZNF592","TRRAP - ZNF592"
"10771","8295",NA,0.0795,0.1969,0.0795,0.1474,NA,"TRRAP","ZMYND11","TRRAP - ZMYND11"
"9203","8295",NA,0.0811,0.1581,0.0811,0.15,NA,"TRRAP","ZMYM3","TRRAP - ZMYM3"
"7750","8295",NA,0.2,0.3338,0.2,0.3333,NA,"TRRAP","ZMYM2","TRRAP - ZMYM2"
"7704","8295",NA,0,0,0,0,NA,"TRRAP","ZBTB16","TRRAP - ZBTB16"
"7528","8295",NA,0.1124,0.2063,0.1124,0.202,NA,"TRRAP","YY1","TRRAP - YY1"
